     #Energy           s          py          pz          px       tot
    -2.70888     0.02784     0.09773     0.11380     0.08865     0.32802
    -2.69888     0.02718     0.09424     0.11110     0.08373     0.31625
    -2.68788     0.02646     0.08865     0.10720     0.07884     0.30115
    -2.67788     0.02524     0.08273     0.10210     0.07389     0.28396
    -2.66788     0.02359     0.07679     0.09617     0.06867     0.26522
    -2.65688     0.02209     0.07175     0.09078     0.06403     0.24865
    -2.64688     0.02080     0.06797     0.08619     0.06033     0.23529
    -2.63688     0.01973     0.06535     0.08236     0.05759     0.22503
    -2.62688     0.01890     0.06362     0.07907     0.05571     0.21730
    -2.61588     0.01830     0.06276     0.07627     0.05469     0.21202
    -2.60588     0.01795     0.06321     0.07445     0.05473     0.21034
    -2.59588     0.01789     0.06533     0.07409     0.05661     0.21392
    -2.58488     0.01792     0.06806     0.07413     0.05915     0.21926
    -2.57488     0.01801     0.07108     0.07432     0.06191     0.22532
    -2.56488     0.01820     0.07446     0.07464     0.06509     0.23239
    -2.55388     0.01852     0.07821     0.07510     0.06867     0.24050
    -2.54388     0.01897     0.08233     0.07570     0.07264     0.24964
    -2.53388     0.01954     0.08682     0.07643     0.07702     0.25981
    -2.52388     0.02036     0.09441     0.07754     0.08457     0.27688
    -2.51288     0.02180     0.11050     0.07980     0.10080     0.31290
    -2.50288     0.02312     0.12090     0.08187     0.11150     0.33739
    -2.49288     0.02419     0.12690     0.08340     0.11840     0.35289
    -2.48188     0.02566     0.12730     0.08392     0.12040     0.35728
    -2.47188     0.02636     0.11960     0.08337     0.11400     0.34333
    -2.46188     0.02395     0.10990     0.08313     0.10220     0.31918
    -2.45088     0.02320     0.10670     0.08419     0.09628     0.31037
    -2.44088     0.02097     0.09807     0.08043     0.09145     0.29092
    -2.43088     0.01954     0.09227     0.07747     0.08731     0.27659
    -2.42088     0.01867     0.08804     0.07542     0.08371     0.26584
    -2.40988     0.01804     0.08457     0.07392     0.08058     0.25711
    -2.39988     0.01757     0.08179     0.07289     0.07791     0.25016
    -2.38988     0.02065     0.08743     0.07962     0.08264     0.27034
    -2.37888     0.02343     0.09606     0.08831     0.08532     0.29312
    -2.36888     0.02022     0.08568     0.08090     0.07903     0.26583
    -2.35888     0.02031     0.08461     0.08152     0.07823     0.26467
    -2.34788     0.02024     0.08449     0.08203     0.07780     0.26456
    -2.33788     0.01995     0.08469     0.08188     0.07741     0.26393
    -2.32788     0.01939     0.08482     0.08147     0.07654     0.26222
    -2.31788     0.01902     0.08512     0.08131     0.07614     0.26159
    -2.30688     0.01892     0.08563     0.08154     0.07638     0.26247
    -2.29688     0.01884     0.08622     0.08187     0.07665     0.26358
    -2.28688     0.01877     0.08686     0.08231     0.07692     0.26486
    -2.27588     0.01870     0.08755     0.08280     0.07726     0.26631
    -2.26588     0.01862     0.08830     0.08335     0.07766     0.26793
    -2.25588     0.01855     0.08911     0.08396     0.07813     0.26975
    -2.24488     0.01848     0.08997     0.08462     0.07866     0.27173
